ID,App,Category,Description,Auth Methods,Credential Access,Free/Trial Access,API Availability,API Breadth,Doc Quality,MCP Status,Buildability,Primary Blocker,Evidence URL,Confidence,Human Verification Required
1,Salesforce,CRM and Sales,"Enterprise CRM platform for sales pipelines, customer relations, and business process automation.",OAuth 2.0; JWT Bearer; SAML,SELF_SERVE,Free Developer Edition account available with full API access.,REST_AND_GRAPHQL,BROAD,HIGH,OFFICIAL_MCP_SUPPORTED,HIGH,None,https://help.salesforce.com/s/articleView?id=sf.remoteaccess_oauth_flows.htm,0.98,False
2,HubSpot,CRM and Sales,"Inbound marketing, sales CRM, customer service, and content management platform.",OAuth 2.0; Private App Access Token,SELF_SERVE,Free Developer Account and app test accounts with full API access.,REST_AND_GRAPHQL,BROAD,HIGH,COMMUNITY_MCP,HIGH,None,https://developers.hubspot.com/docs/api/working-with-oauth,0.98,False
3,Pipedrive,CRM and Sales,"Sales-focused CRM tool for deal tracking, pipeline management, and contact organization.",OAuth 2.0; API Key,SELF_SERVE,Free Developer Sandbox account via Developer Center.,REST,BROAD,HIGH,COMMUNITY_MCP,HIGH,None,https://pipedrive.readme.io/docs/core-api-concepts-authentication,0.97,False
4,Attio,CRM and Sales,"Modern, customizable CRM built on a flexible real-time relational data model.",OAuth 2.0; API Key,SELF_SERVE,Free tier available with full API key generation capabilities.,REST,BROAD,HIGH,COMMUNITY_MCP,HIGH,None,https://developers.attio.com/docs/authentication,0.98,False
5,Twenty,CRM and Sales,Open-source CRM platform providing full data ownership and customizable workspaces.,API Key; Bearer Token,SELF_SERVE,Completely free via open-source self-hosting; free cloud trial available.,REST_AND_GRAPHQL,BROAD,HIGH,COMMUNITY_MCP,HIGH,None,https://twenty.com/developers/section/graphql-and-rest-api,0.96,False
6,Podio,CRM and Sales,"Customizable collaborative work platform for project tracking, task management, and sales workflows.",OAuth 2.0; API Key,SELF_SERVE,Free tier available with instant API key creation.,REST,BROAD,MEDIUM,NO_MCP_FOUND,HIGH,None,https://podio.com/site/help/api/authentication,0.94,False
7,Zoho CRM,CRM and Sales,"Comprehensive CRM platform for lead generation, contact management, and sales pipeline tracking.",OAuth 2.0,SELF_SERVE,Free developer accounts available via Zoho Developer Console.,REST,BROAD,HIGH,COMMUNITY_MCP,HIGH,None,https://www.zoho.com/crm/developer/docs/api/v3/oauth-overview.html,0.97,False
8,Close,CRM and Sales,Inside sales CRM featuring integrated multi-channel communications and deal automation.,API Key; OAuth 2.0,SELF_SERVE,14-day free trial with full API access.,REST,BROAD,HIGH,COMMUNITY_MCP,HIGH,None,https://developer.close.com/topics/authentication/,0.97,False
9,Copper,CRM and Sales,"Google Workspace-integrated CRM for contact, pipeline, and customer relationship management.",API Key,SELF_SERVE_WITH_PLAN_REQUIREMENT,14-day free trial or paid plan required to generate API keys.,REST,MEDIUM,MEDIUM,COMMUNITY_MCP,HIGH,Paid subscription / active trial required,https://developer.copper.com/,0.95,False
10,DealCloud,CRM and Sales,Institutional CRM and deal management platform for investment banks and private capital firms.,OAuth 2.0 (Client Credentials Grant); API Key (User Profile / Bearer Token),ADMIN_APPROVAL,Enterprise contract only; no public free tier or self-serve developer sandbox.,REST,BROAD,HIGH,NO_MCP_FOUND,MEDIUM,Enterprise-only access / Admin approval,https://api.docs.dealcloud.com/docs,0.99,True
11,Zendesk,Support and Helpdesk,"Customer support platform providing ticketing, messaging, help center, and customer service solutions.",OAuth 2.0; API Token; Basic Authentication,SELF_SERVE,Free 14-day trial or Zendesk Developer Sponsored Account.,REST_AND_GRAPHQL,BROAD,HIGH,OFFICIAL_MCP_SUPPORTED,HIGH,None,https://developer.zendesk.com/api-reference/ticketing/introduction/#authentication,0.98,False
12,Intercom,Support and Helpdesk,"Customer messaging and AI helpdesk platform for onboarding, support, and engagement.",OAuth 2.0; Access Token,SELF_SERVE,Free Developer Workspace available via Intercom Developer Hub.,REST,BROAD,HIGH,COMMUNITY_MCP,HIGH,None,https://developers.intercom.com/docs/build-an-integration/learn-more/authentication/,0.98,False
13,Freshdesk,Support and Helpdesk,Cloud-based customer support software featuring omnichannel ticketing and automation.,API Key; OAuth 2.0,SELF_SERVE,Free plan (up to 10 agents) with full API access.,REST,BROAD,HIGH,COMMUNITY_MCP,HIGH,None,https://developers.freshdesk.com/api/#authentication,0.97,False
