claim_id,app,category,dimension,pass1_claim,pass1_verdict,pass2_verified_claim,pass2_verdict,evidence_url,resolution_type
1,DealCloud,CRM and Sales,app_name,,VERIFIED_CORRECT,,VERIFIED_CORRECT,https://api.docs.dealcloud.com/docs,CONFIRMED_AGAINST_PRIMARY_DOCS
2,DealCloud,CRM and Sales,category,CRM and Sales,VERIFIED_CORRECT,CRM and Sales,VERIFIED_CORRECT,https://api.docs.dealcloud.com/docs,CONFIRMED_AGAINST_PRIMARY_DOCS
3,DealCloud,CRM and Sales,description,Institutional CRM and deal management platform for investment banks and private capital firms.,VERIFIED_CORRECT,Institutional CRM and deal management platform for investment banks and private capital firms.,VERIFIED_CORRECT,https://api.docs.dealcloud.com/docs,CONFIRMED_AGAINST_PRIMARY_DOCS
4,DealCloud,CRM and Sales,auth_methods,"['OAuth 2.0 (Client Credentials Grant)', 'API Key (User Profile / Bearer Token)']",VERIFIED_CORRECT,"['OAuth 2.0 (Client Credentials Grant)', 'API Key (User Profile / Bearer Token)']",VERIFIED_CORRECT,https://api.docs.dealcloud.com/docs,CONFIRMED_AGAINST_PRIMARY_DOCS
5,DealCloud,CRM and Sales,credential_access,SELF_SERVE,UNSUPPORTED_OR_INCORRECT,ADMIN_APPROVAL,VERIFIED_CORRECT,https://api.docs.dealcloud.com/docs,CORRECTED_VIA_HEURISTIC_AND_HUMAN_AUDIT
6,DealCloud,CRM and Sales,free_or_trial_access,Enterprise contract only; no public free tier or self-serve developer sandbox.,VERIFIED_CORRECT,Enterprise contract only; no public free tier or self-serve developer sandbox.,VERIFIED_CORRECT,https://api.docs.dealcloud.com/docs,CONFIRMED_AGAINST_PRIMARY_DOCS
7,DealCloud,CRM and Sales,api_availability,,UNSUPPORTED_OR_INCORRECT,,VERIFIED_CORRECT,https://api.docs.dealcloud.com/docs,CORRECTED_VIA_HEURISTIC_AND_HUMAN_AUDIT
8,DealCloud,CRM and Sales,api_type,,VERIFIED_CORRECT,,VERIFIED_CORRECT,https://api.docs.dealcloud.com/docs,CONFIRMED_AGAINST_PRIMARY_DOCS
9,DealCloud,CRM and Sales,api_breadth,,VERIFIED_CORRECT,,VERIFIED_CORRECT,https://api.docs.dealcloud.com/docs,CONFIRMED_AGAINST_PRIMARY_DOCS
10,DealCloud,CRM and Sales,documentation_quality,,VERIFIED_CORRECT,,VERIFIED_CORRECT,https://api.docs.dealcloud.com/docs,CONFIRMED_AGAINST_PRIMARY_DOCS
11,DealCloud,CRM and Sales,mcp_status,,UNSUPPORTED_OR_INCORRECT,,VERIFIED_CORRECT,https://api.docs.dealcloud.com/docs,CORRECTED_VIA_HEURISTIC_AND_HUMAN_AUDIT
12,DealCloud,CRM and Sales,mcp_official,,VERIFIED_CORRECT,,VERIFIED_CORRECT,https://api.docs.dealcloud.com/docs,CONFIRMED_AGAINST_PRIMARY_DOCS
13,DealCloud,CRM and Sales,mcp_url,,VERIFIED_CORRECT,,VERIFIED_CORRECT,https://api.docs.dealcloud.com/docs,CONFIRMED_AGAINST_PRIMARY_DOCS
14,DealCloud,CRM and Sales,buildability,HIGH,UNSUPPORTED_OR_INCORRECT,MEDIUM,VERIFIED_CORRECT,https://api.docs.dealcloud.com/docs,CORRECTED_VIA_HEURISTIC_AND_HUMAN_AUDIT
15,DealCloud,CRM and Sales,primary_blocker,None,UNSUPPORTED_OR_INCORRECT,Enterprise-only access / Admin approval,VERIFIED_CORRECT,https://api.docs.dealcloud.com/docs,CORRECTED_VIA_HEURISTIC_AND_HUMAN_AUDIT
