id,app,category,field_tested,pass1_agent_claim,independent_primary_evidence,human_reviewer_decision,calibrated_value,reviewer,status
1,DealCloud,CRM and Sales,Credential Access,SELF_SERVE (OAuth 2.0 Docs present),https://api.docs.dealcloud.com/ - Requires tenant administrator to enable API capability on user groups.,CORRECTED_TO_ADMIN_APPROVAL,ADMIN_APPROVAL,Product Ops Lead,VERIFIED
2,Gladly,Support and Helpdesk,API Token Generation,SELF_SERVE (Public REST documentation),https://developer.gladly.com/rest/ - API User role must be provisioned by instance admin; trial signups lack API key generator.,CORRECTED_TO_ADMIN_APPROVAL,ADMIN_APPROVAL,Product Ops Lead,VERIFIED
3,WhatsApp Business,Communications and Messaging,Production Messaging Access,SELF_SERVE (Cloud API Sandbox),https://developers.facebook.com/docs/whatsapp/cloud-api/get-started - Sandbox is self-serve; live production numbers require Meta Business Portfolio verification and template approvals.,CORRECTED_TO_PLAN_AND_COMPLIANCE_REQ,SELF_SERVE_WITH_PLAN_REQUIREMENT,Product Ops Lead,VERIFIED
4,Google Ads,"Marketing, Ads, Email and Social",Developer Token Approval,SELF_SERVE (OAuth 2.0 Web flow),https://developers.google.com/google-ads/api/docs/first-call/overview - Test accounts self-serve; production access requires approved 22-character Developer Token review.,CORRECTED_TO_ADMIN_APPROVAL,ADMIN_APPROVAL,Product Ops Lead,VERIFIED
5,LinkedIn Ads,"Marketing, Ads, Email and Social",Marketing Developer Platform (MDP) Gating,SELF_SERVE (Public REST API),https://learn.microsoft.com/en-us/linkedin/marketing/overview - Ad management APIs require formal MDP developer application and ad account sponsorship.,CORRECTED_TO_PARTNER_GATED,PARTNER_OR_SALES_GATED,Product Ops Lead,VERIFIED
6,Amazon Selling Partner,Ecommerce,PII & Restricted Data Roles (RDT),SELF_SERVE (LWA OAuth documentation),https://developer-docs.amazon.com/sp-api/docs/connecting-to-the-selling-partner-api - Dual auth (LWA + AWS SigV4) and strict Restricted Data Role vetting for customer PII.,CORRECTED_TO_PARTNER_GATED_LOW_BUILD,PARTNER_OR_SALES_GATED,Product Ops Lead,VERIFIED
7,Sherlock,"Data, SEO and Scraping",API Surface Classification,REST (GitHub repository found),https://github.com/sherlock-project/sherlock - Open-source Python CLI; no official cloud-hosted HTTP REST service.,CORRECTED_TO_CLI_ONLY,CLI_ONLY,Product Ops Lead,VERIFIED
8,PitchBook,Finance and Fintech,Enterprise Paywall & Contract Terms,"PARTNER_GATED (,000/yr contract required)",https://pitchbook.com/products/data/direct-data - Direct Data API exists but requires enterprise contract; exact pricing undisclosed publicly.,PRESERVE_UNDISCLOSED_UNCERTAINTY,PARTNER_OR_SALES_GATED,Product Ops Lead,VERIFIED
9,NotebookLM,"AI, Research and Media-native",Consumer vs Enterprise API Availability,SELF_SERVE (Consumer app available),https://cloud.google.com/gemini/docs - Consumer NotebookLM has no public developer API; programmatic use restricted to Google Cloud Gemini Enterprise.,CORRECTED_TO_ADMIN_LIMITED,ADMIN_APPROVAL,Product Ops Lead,VERIFIED
10,Consensus,"AI, Research and Media-native",MCP Server & API Endpoint,ADMIN_APPROVAL (Conflated with goconsensus.com demo API),https://docs.consensus.app/ & https://mcp.consensus.app/mcp - Official vendor streamable MCP server available with self-serve free tier.,CORRECTED_TO_SELF_SERVE_OFFICIAL_MCP,SELF_SERVE,Product Ops Lead,VERIFIED
11,Mermaid CLI,"AI, Research and Media-native",Execution Environment,REST (Diagram rendering API),https://github.com/mermaid-js/mermaid-cli - Node.js npm package (@mermaid-js/mermaid-cli) for command-line compilation; no hosted REST API.,CORRECTED_TO_CLI_ONLY,CLI_ONLY,Product Ops Lead,VERIFIED
12,fanbasis,Ecommerce,Rebrand & Scope Classification,BROAD (Full creator platform API),"https://docs.fanbasis.com - Rebranding to Commas; API surface is narrow, focusing on checkout SDK and webhooks.",CORRECTED_TO_LIMITED_API,LIMITED_API,Product Ops Lead,VERIFIED
